date,subway_ridership,subway_pct_baseline,bus_ridership,bus_pct_baseline,lirr_ridership,lirr_pct_baseline,metro_north_ridership,metro_north_pct_baseline,access_ride_trips,access_ride_pct_baseline,bridges_tunnels_traffic,bridges_tunnels_pct_baseline,staten_island_ridership,staten_island_pct_baseline,is_covid,is_weekend,day_of_week,is_holiday,day_name,is_outlier
2020-03-01,2212965,97.0,984908,99.0,86790,100.0,55825,59.0,19922,113.0,786960,98.0,1636,52.0,0,1,6,0,Sunday,0
2020-03-02,5329915,96.0,2209066,99.0,321569,103.0,180701,66.0,30338,102.0,874619,95.0,17140,107.0,0,0,0,0,Monday,0
2020-03-03,5481103,98.0,2228608,99.0,319727,102.0,190648,69.0,32767,110.0,882175,96.0,17453,109.0,0,0,1,0,Tuesday,0
2020-03-04,5498809,99.0,2177165,97.0,311662,99.0,192689,70.0,34297,115.0,905558,98.0,17136,107.0,0,0,2,0,Wednesday,0
2020-03-05,5496453,99.0,2244515,100.0,307597,98.0,194386,70.0,33209,112.0,929298,101.0,17203,108.0,0,0,3,0,Thursday,0
2020-03-06,5189447,93.0,2066743,92.0,289171,92.0,205056,74.0,30970,104.0,945408,103.0,15285,96.0,0,0,4,0,Friday,0
2020-03-07,2814637,92.0,1249085,94.0,106058,98.0,75838,56.0,18117,107.0,827907,95.0,2445,48.0,0,1,5,0,Saturday,0
2020-03-08,2120656,93.0,957163,96.0,81565,94.0,60800,64.0,19477,111.0,765083,95.0,1672,53.0,0,1,6,0,Sunday,0
2020-03-09,4973513,89.0,2124770,95.0,277001,88.0,183953,67.0,29609,100.0,860073,93.0,16122,101.0,0,0,0,0,Monday,0
2020-03-10,4867818,87.0,2111989,94.0,259324,83.0,179050,65.0,31315,105.0,855585,93.0,15805,99.0,0,0,1,0,Tuesday,0
2020-03-11,4697122,84.0,2112967,94.0,245798,78.0,175074,63.0,32198,108.0,866706,94.0,15340,96.0,0,0,2,0,Wednesday,0
2020-03-12,4149505,75.0,1938424,86.0,197178,63.0,169547,61.0,30814,104.0,881188,96.0,14169,89.0,0,0,3,0,Thursday,0
2020-03-13,3484996,63.0,1715737,77.0,158582,51.0,167176,61.0,26640,90.0,860419,93.0,11769,74.0,0,0,4,0,Friday,0
2020-03-14,1670665,54.0,993287,75.0,44885,42.0,39701,29.0,13394,79.0,631101,72.0,2135,42.0,0,1,5,0,Saturday,0
2020-03-15,1157711,51.0,711555,72.0,33407,38.0,32641,35.0,12480,71.0,535987,66.0,1368,43.0,0,1,6,0,Sunday,0
2020-03-16,2178555,39.0,1237309,55.0,119333,38.0,153262,56.0,21145,71.0,708869,77.0,5741,36.0,0,0,0,0,Monday,0
2020-03-17,1788786,32.0,1094949,49.0,83578,27.0,147391,53.0,18173,61.0,650444,71.0,4573,29.0,0,0,1,0,Tuesday,0
2020-03-18,1625280,29.0,1059502,47.0,74883,24.0,146118,53.0,15942,54.0,634853,69.0,4133,26.0,0,0,2,0,Wednesday,0
2020-03-19,1422112,26.0,933602,42.0,59538,19.0,144466,52.0,14116,47.0,569696,62.0,3452,22.0,0,0,3,0,Thursday,0
2020-03-20,1309125,24.0,868602,39.0,50021,16.0,145160,53.0,12744,43.0,563261,61.0,3124,20.0,0,0,4,0,Friday,0
2020-03-21,619618,20.0,411491,31.0,12438,12.0,23700,17.0,6467,38.0,382992,44.0,1044,21.0,0,1,5,0,Saturday,0
2020-03-22,408723,18.0,73517,7.0,8891,10.0,20830,22.0,4824,27.0,277050,34.0,641,20.0,1,1,6,0,Sunday,0
2020-03-23,709499,13.0,59321,3.0,30564,10.0,139285,51.0,9902,33.0,361513,39.0,1639,10.0,1,0,0,0,Monday,0
2020-03-24,741587,13.0,60334,3.0,29785,10.0,139194,50.0,9133,31.0,395493,43.0,1727,11.0,1,0,1,0,Tuesday,0
2020-03-25,690032,12.0,51769,2.0,26143,8.0,138239,50.0,9512,32.0,375767,41.0,1572,10.0,1,0,2,0,Wednesday,0
2020-03-26,680360,12.0,49970,2.0,23809,8.0,138668,50.0,8795,30.0,390117,42.0,1563,10.0,1,0,3,0,Thursday,0
2020-03-27,656817,12.0,45514,2.0,20355,6.0,138903,50.0,8409,28.0,396777,43.0,1495,9.0,1,0,4,0,Friday,0
2020-03-28,332393,11.0,19745,1.0,5279,5.0,19088,14.0,4491,27.0,240702,28.0,600,12.0,1,1,5,0,Saturday,0
2020-03-29,263700,12.0,14307,1.0,4358,5.0,18152,19.0,3374,19.0,197154,24.0,419,13.0,1,1,6,0,Sunday,0
2020-03-30,545215,10.0,33659,2.0,19741,6.0,137762,50.0,8084,27.0,344689,37.0,1140,7.0,1,0,0,0,Monday,0
2020-03-31,508106,9.0,32211,1.0,16194,5.0,137464,50.0,7672,26.0,337626,37.0,1043,7.0,1,0,1,0,Tuesday,0
2020-04-01,513481,9.0,29373,1.0,10548,3.0,9300,3.0,8151,28.0,342221,36.0,720,4.0,1,0,2,0,Wednesday,0
2020-04-02,485586,9.0,26788,1.0,10057,3.0,9492,3.0,7077,24.0,339734,36.0,882,5.0,1,0,3,0,Thursday,0
2020-04-03,483357,9.0,24418,1.0,9657,3.0,9770,3.0,7794,27.0,340272,36.0,843,5.0,1,0,4,0,Friday,0
2020-04-04,282278,9.0,13168,1.0,3727,3.0,4451,3.0,4375,26.0,243323,27.0,425,8.0,1,1,5,0,Saturday,0
2020-04-05,227303,9.0,9748,1.0,2969,3.0,3601,3.0,2763,15.0,209151,24.0,300,9.0,1,1,6,0,Sunday,0
2020-04-06,445454,8.0,22418,1.0,10127,3.0,9832,3.0,7093,25.0,335768,36.0,819,5.0,1,0,0,0,Monday,0
2020-04-07,434986,8.0,21623,1.0,9312,3.0,9589,3.0,7041,24.0,335469,36.0,732,5.0,1,0,1,0,Tuesday,0
2020-04-08,427485,8.0,20361,1.0,9039,3.0,9292,3.0,6950,24.0,324881,35.0,721,4.0,1,0,2,0,Wednesday,0
2020-04-09,404635,7.0,18734,1.0,8413,3.0,8931,3.0,6243,22.0,303480,32.0,690,4.0,1,0,3,0,Thursday,0
2020-04-10,400275,7.0,17135,1.0,8247,3.0,9573,3.0,5378,19.0,314099,33.0,672,4.0,1,0,4,0,Friday,0
2020-04-11,257061,8.0,9718,1.0,2749,2.0,4179,3.0,4235,25.0,254754,28.0,406,8.0,1,1,5,0,Saturday,0
2020-04-12,198399,8.0,7041,1.0,2245,2.0,3281,3.0,2525,14.0,217871,25.0,294,9.0,1,1,6,0,Sunday,1
2020-04-13,363312,7.0,14408,1.0,8192,3.0,8824,3.0,6205,21.0,284608,30.0,649,4.0,1,0,0,0,Monday,0
2020-04-14,430155,8.0,17937,1.0,8816,3.0,9592,3.0,6585,23.0,356104,38.0,791,5.0,1,0,1,0,Tuesday,0
2020-04-15,419059,8.0,16895,1.0,8596,3.0,9492,3.0,6928,24.0,340212,36.0,792,5.0,1,0,2,0,Wednesday,0
2020-04-16,420223,8.0,16632,1.0,8462,3.0,9528,3.0,6563,23.0,346341,37.0,790,5.0,1,0,3,0,Thursday,0
2020-04-17,432368,8.0,16350,1.0,8271,3.0,9989,3.0,7048,24.0,378350,40.0,738,5.0,1,0,4,0,Friday,0
2020-04-18,254453,8.0,8115,1.0,2449,2.0,3965,3.0,4202,25.0,254734,28.0,339,7.0,1,1,5,0,Saturday,0
2020-04-19,224411,9.0,6929,1.0,2159,2.0,3884,4.0,2742,15.0,276406,32.0,340,10.0,1,1,6,0,Sunday,0
2020-04-20,437852,8.0,16522,1.0,8912,3.0,10063,4.0,7050,24.0,371776,40.0,770,5.0,1,0,0,0,Monday,0
2020-04-21,422107,8.0,15231,1.0,8264,3.0,9374,3.0,6613,23.0,356098,38.0,753,5.0,1,0,1,0,Tuesday,0
2020-04-22,458781,8.0,16487,1.0,8674,3.0,9694,3.0,7496,26.0,398703,42.0,793,5.0,1,0,2,0,Wednesday,0
2020-04-23,453520,8.0,15786,1.0,8425,3.0,9527,3.0,6969,24.0,386937,41.0,780,5.0,1,0,3,0,Thursday,0
2020-04-24,443956,8.0,14237,1.0,7821,3.0,9722,3.0,7040,24.0,386935,41.0,688,4.0,1,0,4,0,Friday,0
2020-04-25,295387,9.0,8832,1.0,2869,3.0,4987,3.0,4719,28.0,350299,38.0,449,9.0,1,1,5,0,Saturday,0
2020-04-26,218787,9.0,5498,1.0,1903,2.0,3495,3.0,2506,13.0,231540,27.0,309,9.0,1,1,6,0,Sunday,0
2020-04-27,462888,8.0,15283,1.0,8828,3.0,10243,4.0,6922,24.0,384123,41.0,812,5.0,1,0,0,0,Monday,0
2020-04-28,489247,9.0,16380,1.0,9167,3.0,10531,4.0,7542,26.0,436346,46.0,826,5.0,1,0,1,0,Tuesday,0
2020-04-29,477799,9.0,15406,1.0,9100,3.0,10165,4.0,7844,27.0,410502,44.0,790,5.0,1,0,2,0,Wednesday,0
2020-04-30,465869,8.0,14062,1.0,9335,3.0,9971,3.0,7253,25.0,405168,43.0,764,5.0,1,0,3,0,Thursday,0
2020-05-01,494549,9.0,14893,1.0,6200,2.0,9206,3.0,8332,28.0,445621,46.0,763,4.0,1,0,4,0,Friday,0
2020-05-02,325865,10.0,8912,1.0,3959,3.0,5908,4.0,5493,32.0,401938,42.0,489,10.0,1,1,5,0,Saturday,0
2020-05-03,258865,11.0,6404,1.0,3314,3.0,4839,5.0,3263,19.0,353314,41.0,334,9.0,1,1,6,0,Sunday,0
2020-05-04,511866,9.0,16315,1.0,11158,3.0,10764,4.0,8287,28.0,447424,46.0,897,5.0,1,0,0,0,Monday,0
2020-05-05,522085,9.0,16377,1.0,13265,4.0,10604,4.0,8445,29.0,462085,48.0,894,5.0,1,0,1,0,Tuesday,0
2020-05-06,508824,9.0,15677,1.0,14489,5.0,10107,4.0,8832,30.0,444179,46.0,822,5.0,1,0,2,0,Wednesday,0
2020-05-07,535073,9.0,16130,1.0,16139,5.0,11247,4.0,8509,29.0,488836,51.0,930,5.0,1,0,3,0,Thursday,0
